"q2","q3","q4","q6","q7","q7_7_text","q19","q12","q12_5_text","q13","q14","q14_12_text","q57","q15","q20","q16","q11","q11_9_text","q17","q40_1","q41","q42","q43","q121","q46_1","q47","q48","q49","q122","q51_1","q52","q53","q54","q123","q23_1","q24","q25","q26","q124","q34_1","q35","q36","q37","q125","q28_1","q29","q30","q31","q126","age","male","educ","married","white","race","preference","sexuality","straight","trans","religion","religiosity","ideo5","partyid","viewer_party","democrat_respondent","partisan_id","poli_interest","employment","employed","income","treatment","same_party"
1966,"Male","Some college, but no degree (yet)","Married","White",NA,"Women","Heterosexual/straight",NA,"No","Protestant",NA,"Very important","Very conservative","Republican","Most of the time","Working full time now",NA,"$100,000 - $119,999",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71,"Very probably","Probably","Possibly","Possibly",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52,1,3,1,1,11,2,3,1,0,10,4,1,3,2,0,2,4,8,1,11,2,NA
1984,"Male","Postgraduate degree (MA, MBA, MD, JD, PhD, etc.)","Never married","White",NA,"Women","Heterosexual/straight",NA,"No","Atheist",NA,"Not at all important","Very liberal","Democrat","Most of the time","Working full time now",NA,"$200,000 - $249,999",85,"Very probably","Very probably","Possibly","Possibly",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34,1,6,0,1,11,2,3,1,0,2,1,5,1,0,1,0,4,8,1,14,0,NA
1993,"Male","Some college, but no degree (yet)","Married","White",NA,"Women","Bisexual",NA,"Yes","Atheist",NA,"Not at all important","Very liberal","Democrat","Only now and then","Working full time now",NA,"$50,000 - $59,999",NA,NA,NA,NA,NA,90,"Definitely","Definitely","Possibly","Definitely not",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,1,3,1,1,11,2,1,0,1,2,1,5,1,0,1,0,2,8,1,6,1,0
1987,"Male","Postgraduate degree (MA, MBA, MD, JD, PhD, etc.)","Married","White",NA,"Women","Heterosexual/straight",NA,"No","Protestant",NA,"Extremely important","Conservative","Republican","Some of the time","Working full time now",NA,"$70,000 - $79,999",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70,"Probably","Probably","Possibly","Possibly",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,1,6,1,1,11,2,3,1,0,10,5,2,3,2,0,2,3,8,1,8,2,NA
1986,"Male","2-year college degree","Married","White",NA,"Women","Heterosexual/straight",NA,"No","Agnostic",NA,"Slightly important","Liberal","Democrat","Some of the time","Working full time now",NA,"$40,000 - $49,999",77,"Definitely","Definitely","Definitely","Definitely",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,1,4,1,1,11,2,3,1,0,1,2,4,1,0,1,0,3,8,1,5,0,NA
1984,"Male","Some college, but no degree (yet)","Never married","Hispanic or Latino",NA,"Women","Heterosexual/straight",NA,"No","Protestant",NA,"Very important","Very liberal","Democrat","Most of the time","Working full time now",NA,"$20,000 - $29,999",NA,NA,NA,NA,NA,80,"Definitely","Definitely","Probably","Possibly",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34,1,3,0,0,6,2,3,1,0,10,4,5,1,0,1,0,4,8,1,3,1,0
1986,"Male","4-year college degree","Domestic/civil partnership","White",NA,"Women","Heterosexual/straight",NA,"No","Atheist",NA,"Not at all important","Liberal","Democrat","Most of the time","Working part time now",NA,"$60,000 - $69,999",NA,NA,NA,NA,NA,64,"Probably","Possibly","Possibly","Possibly",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,1,5,0,1,11,2,3,1,0,2,1,4,1,0,1,0,4,9,0,7,1,0
1951,"Male","2-year college degree","Divorced","White",NA,"Women","Heterosexual/straight",NA,"No","Roman Catholic",NA,"Very important","Moderate","Republican","Some of the time","Retired",NA,"$50,000 - $59,999",NA,NA,NA,NA,NA,91,"Very probably","Very probably","Very probably","Probably not",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67,1,4,0,1,11,2,3,1,0,11,4,3,3,2,0,2,3,3,0,6,1,NA
1978,"Female","Did not graduate from high school","Never married","White",NA,"Women","Other","Asexual/aromantic","No","Nothing in particular",NA,"Not at all important","Very liberal","Democrat","Most of the time","Other","Disabled/Self employed/small business owner","$10,000 - $19,999",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,"Definitely not","Definitely not","Definitely not","Probably not",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,0,1,0,1,11,2,5,0,0,9,1,5,1,0,1,0,4,1,0,2,2,1
1991,"Female","Some college, but no degree (yet)","Never married","White",NA,"Men","Bisexual",NA,"No","Agnostic",NA,"Not at all important","Very liberal","Democrat","Most of the time","Other","Self-employed full-time","$20,000 - $29,999",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70,"Very probably","Probably","Possibly","Very probably",27,0,3,0,1,11,1,1,0,0,1,1,5,1,0,1,0,4,1,0,3,2,1
1985,"Male","2-year college degree","Never married","White",NA,"Women","Heterosexual/straight",NA,"No","Protestant",NA,"Moderately important","Moderate","Independent","Some of the time","Working part time now",NA,"Less than $10,000",42,"Probably not","Probably not","Probably not","Possibly",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,1,4,0,1,11,2,3,1,0,10,3,3,2,1,0,1,3,9,0,1,0,NA
1955,"Male","Some college, but no degree (yet)","Divorced","White",NA,"Women","Heterosexual/straight",NA,"No","Something else","Spiritual","Slightly important","Liberal","Democrat","Some of the time","Retired",NA,"$50,000 - $59,999",NA,NA,NA,NA,NA,75,"Possibly","Possibly","Probably not","Very probably",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63,1,3,0,1,11,2,3,1,0,12,2,4,1,0,1,0,3,3,0,6,1,0
1985,"Male","4-year college degree","Divorced","White",NA,"Women","Heterosexual/straight",NA,"No","Protestant",NA,"Very important","Conservative","Independent","Most of the time","Working full time now",NA,"$60,000 - $69,999",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,81,"Probably","Probably","Possibly","Possibly",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,1,5,0,1,11,2,3,1,0,10,4,2,2,1,0,1,4,8,1,7,2,0
1994,"Male","4-year college degree","Never married","Asian or Asian-American",NA,"Women","Heterosexual/straight",NA,"No","Roman Catholic",NA,"Extremely important","Liberal","Democrat","Some of the time","Working full time now",NA,"$150,000 - $199,999",91,"Definitely","Definitely","Definitely","Very probably",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,1,5,0,0,1,2,3,1,0,11,5,4,1,0,1,0,3,8,1,13,0,NA
1961,"Female","Postgraduate degree (MA, MBA, MD, JD, PhD, etc.)","Domestic/civil partnership","White",NA,"Women","Heterosexual/straight",NA,"No","Something else","No label...just don't think about religion","Not at all important","Moderate","Independent","Some of the time","Working full time now",NA,"$80,000 - $89,999",NA,NA,NA,NA,NA,50,"Definitely not","Definitely not","Definitely not","Possibly",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57,0,6,0,1,11,2,3,1,0,12,1,3,2,1,0,1,3,8,1,9,1,1
1978,"Male","4-year college degree","Married","White",NA,"Women","Heterosexual/straight",NA,"No","Protestant",NA,"Slightly important","Moderate","Republican","Most of the time","Working full time now",NA,"$90,000 - $99,999",NA,NA,NA,NA,NA,88,"Very probably","Very probably","Very probably","Very probably",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,1,5,1,1,11,2,3,1,0,10,2,3,3,2,0,2,4,8,1,10,1,NA
1991,"Female","Some college, but no degree (yet)","Never married","Hispanic or Latino",NA,"Men","Heterosexual/straight",NA,"No","Agnostic",NA,"Not at all important","Very liberal","Democrat","Some of the time","Working full time now",NA,"$10,000 - $19,999",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59,"Probably not","Probably not","Definitely not","Definitely not",27,0,3,0,0,6,1,3,1,0,1,1,5,1,0,1,0,3,8,1,2,2,1
1997,"Female","Some college, but no degree (yet)","Never married","White",NA,"Men","Heterosexual/straight",NA,"No","Protestant",NA,"Extremely important","Conservative","Republican","Most of the time","Working part time now",NA,"Prefer not to say",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52,"Probably not","Probably not","Definitely not","Possibly",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,0,3,0,1,11,1,3,1,0,10,5,2,3,2,0,2,4,9,0,NA,0,NA
1991,"Male","Some college, but no degree (yet)","Never married","White,Hispanic or Latino",NA,"Women","Heterosexual/straight",NA,"No","Atheist",NA,"Not at all important","Liberal","Democrat","Some of the time","Working full time now",NA,"$20,000 - $29,999",71,"Probably","Probably","Probably","Probably",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,1,3,0,0,18,2,3,1,0,2,1,4,1,0,1,0,3,8,1,3,0,NA
1985,"Female","4-year college degree","Domestic/civil partnership","White,Middle Eastern",NA,"Men","Heterosexual/straight",NA,"No","Eastern or Greek Orthodox",NA,"Very important","Very liberal","Democrat","Most of the time","Working full time now",NA,"$70,000 - $79,999",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75,"Definitely not","Definitely not","Definitely not","Definitely not",NA,NA,NA,NA,NA,33,0,5,0,0,21,1,3,1,0,4,4,5,1,0,1,0,4,8,1,8,1,0
1980,"Female","4-year college degree","Never married","White,Asian or Asian-American",NA,"Men","Heterosexual/straight",NA,"No","Agnostic",NA,"Not at all important","Very liberal","Democrat","Most of the time","Working full time now",NA,"$50,000 - $59,999",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,86,"Very probably","Very probably","Definitely","Very probably",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38,0,5,0,0,12,1,3,1,0,1,1,5,1,0,1,0,4,8,1,6,0,NA
1960,"Male","4-year college degree","Married","White,Native American",NA,"Women","Heterosexual/straight",NA,"No","Protestant",NA,"Moderately important","Very liberal","Independent","Most of the time","Working full time now",NA,"$60,000 - $69,999",91,"Definitely","Definitely","Definitely not","Probably",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58,1,5,1,0,22,2,3,1,0,10,3,5,2,1,0,1,4,8,1,7,0,NA
1980,"Female","2-year college degree","Married","White",NA,"Men","Heterosexual/straight",NA,"No","Roman Catholic",NA,"Extremely important","Very conservative","Republican","Some of the time","Taking care of home or family",NA,"$70,000 - $79,999",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,"Possibly","Probably not","Probably not","Probably not",38,0,4,1,1,11,1,3,1,0,11,5,1,3,2,0,2,3,5,0,8,2,NA
1978,"Male","4-year college degree","Married","White",NA,"Women","Heterosexual/straight",NA,"No","Protestant",NA,"Very important","Moderate","Democrat","Some of the time","Working full time now",NA,"$120,000 - $149,999",NA,NA,NA,NA,NA,80,"Very probably","Very probably","Probably","Very probably",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,1,5,1,1,11,2,3,1,0,10,4,3,1,0,1,0,3,8,1,12,1,0
1998,"Male","Some college, but no degree (yet)","Never married","White",NA,"Women","Heterosexual/straight",NA,"No","Protestant",NA,"Moderately important","Conservative","Republican","Some of the time","Student",NA,"$20,000 - $29,999",NA,NA,NA,NA,NA,90,"Very probably","Very probably","Very probably","Probably not",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,1,3,0,1,11,2,3,1,0,10,3,2,3,2,0,2,3,4,0,3,1,NA
1968,"Female","Postgraduate degree (MA, MBA, MD, JD, PhD, etc.)","Divorced","White",NA,"Men","Bisexual",NA,"No","Something else","Taoist","Slightly important","Liberal","Democrat","Most of the time","Other","Self-employed, disabled, taking care of parents","$20,000 - $29,999",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,"Definitely not","Definitely not","Definitely not","Definitely not",NA,NA,NA,NA,NA,50,0,6,0,1,11,1,1,0,0,12,2,4,1,0,1,0,4,1,0,3,1,0
1985,"Female","4-year college degree","Married","White",NA,"Men","Heterosexual/straight",NA,"No","Protestant",NA,"Extremely important","Conservative","Republican","Some of the time","Taking care of home or family",NA,"$90,000 - $99,999",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,"Definitely not","Definitely not","Definitely not","Possibly",33,0,5,1,1,11,1,3,1,0,10,5,2,3,2,0,2,3,5,0,10,2,NA
1986,"Female","4-year college degree","Never married","White",NA,"Men","Heterosexual/straight",NA,"No","Protestant",NA,"Extremely important","Conservative","Republican","Some of the time","Working full time now",NA,"$50,000 - $59,999",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,"Probably","Probably","Possibly","Very probably",32,0,5,0,1,11,1,3,1,0,10,5,2,3,2,0,2,3,8,1,6,2,NA
1988,"Female","4-year college degree","Never married","White",NA,"Men","Heterosexual/straight",NA,"No","Atheist",NA,"Not at all important","Liberal","Democrat","Some of the time","Permanently disabled",NA,"$70,000 - $79,999",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,"Very probably","Very probably","Probably","Possibly",30,0,5,0,1,11,1,3,1,0,2,1,4,1,0,1,0,3,2,0,8,2,1
1984,"Male","4-year college degree","Married","Asian or Asian-American",NA,"Women","Heterosexual/straight",NA,"No","Protestant",NA,"Extremely important","Conservative","Republican","Only now and then","Working full time now",NA,"$90,000 - $99,999",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83,"Very probably","Very probably","Definitely","Very probably",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34,1,5,1,0,1,2,3,1,0,10,5,2,3,2,0,2,2,8,1,10,2,NA
1998,"Female","Some college, but no degree (yet)","Never married","White",NA,"Men","Heterosexual/straight",NA,"No","Protestant",NA,"Very important","Moderate","Independent","Most of the time","Working full time now",NA,"$80,000 - $89,999",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75,"Probably","Very probably","Very probably","Possibly",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,0,3,0,1,11,1,3,1,0,10,4,3,2,1,0,1,4,8,1,9,0,NA
1990,"Male","4-year college degree","Never married","Asian or Asian-American",NA,"Women","Heterosexual/straight",NA,"No","Atheist",NA,"Not at all important","Liberal","Democrat","Most of the time","Working part time now",NA,"$10,000 - $19,999",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97,"Definitely","Definitely","Definitely","Definitely",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,1,5,0,0,1,2,3,1,0,2,1,4,1,0,1,0,4,9,0,2,2,1
1968,"Male","High school graduate","Divorced","White",NA,"Women","Heterosexual/straight",NA,"No","Something else","Christian","Very important","Very liberal","Democrat","Some of the time","Permanently disabled",NA,"$20,000 - $29,999",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,93,"Very probably","Definitely","Very probably","Possibly",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,1,2,0,1,11,2,3,1,0,12,4,5,1,0,1,0,3,2,0,3,2,1
1965,"Male","4-year college degree","Married","White",NA,"Women","Heterosexual/straight",NA,"No","Jewish",NA,"Not at all important","Moderate","Independent","Most of the time","Working full time now",NA,"$50,000 - $59,999",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70,"Very probably","Probably","Probably","Probably",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53,1,5,1,1,11,2,3,1,0,6,1,3,2,1,0,1,4,8,1,6,2,0
1990,"Male","4-year college degree","Never married","Black or African-American",NA,"Women","Heterosexual/straight",NA,"No","Protestant",NA,"Slightly important","Moderate","Independent","Most of the time","Working full time now",NA,"$20,000 - $29,999",NA,NA,NA,NA,NA,100,"Definitely","Definitely","Probably","Possibly",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,1,5,0,0,2,2,3,1,0,10,2,3,2,1,0,1,4,8,1,3,1,1
1996,"Male","Some college, but no degree (yet)","Never married","White,Hispanic or Latino",NA,"Men","Heterosexual/straight",NA,"No","Agnostic",NA,"Not at all important","Liberal","Democrat","Only now and then","Student",NA,"$20,000 - $29,999",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94,"Definitely not","Definitely not","Definitely not","Possibly",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,1,3,0,0,18,1,3,1,0,1,1,4,1,0,1,0,2,4,0,3,0,NA
1986,"Female","4-year college degree","Married","White",NA,"Men","Heterosexual/straight",NA,"No","Agnostic",NA,"Not at all important","Liberal","Democrat","Only now and then","Working part time now",NA,"$90,000 - $99,999",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87,"Very probably","Very probably","Very probably","Definitely",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,0,5,1,1,11,1,3,1,0,1,1,4,1,0,1,0,2,9,0,10,0,NA
1995,"Female","High school graduate","Never married","Hispanic or Latino",NA,"Men","Heterosexual/straight",NA,"No","Roman Catholic",NA,"Moderately important","Liberal","Republican","Some of the time","Working full time now",NA,"$500,000 or more",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,"Definitely","Definitely","Definitely","Very probably",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,0,2,0,0,6,1,3,1,0,11,3,4,3,2,0,2,3,8,1,17,0,NA
1970,"Male","4-year college degree","Never married","White",NA,"Men","Heterosexual/straight",NA,"No","Something else","spiritual","Slightly important","Liberal","Democrat","Most of the time","Working full time now",NA,"$10,000 - $19,999",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67,"Definitely not","Definitely not","Definitely not","Definitely not",48,1,5,0,1,11,1,3,1,0,12,2,4,1,0,1,0,4,8,1,2,2,1
1990,"Male","4-year college degree","Domestic/civil partnership","Black or African-American",NA,"Women","Heterosexual/straight",NA,"No","Something else","Baptist","Very important","Conservative","Democrat","Some of the time","Working full time now",NA,"$40,000 - $49,999",61,"Possibly","Possibly","Probably not","Probably",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,1,5,0,0,2,2,3,1,0,12,4,2,1,0,1,0,3,8,1,5,0,NA
1991,"Female","Postgraduate degree (MA, MBA, MD, JD, PhD, etc.)","Married","White,Hispanic or Latino",NA,"Men","Heterosexual/straight",NA,"No","Atheist",NA,"Not at all important","Very liberal","Democrat","Most of the time","Working full time now",NA,"$40,000 - $49,999",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58,"Definitely not","Definitely not","Definitely not","Definitely not",NA,NA,NA,NA,NA,27,0,6,1,0,18,1,3,1,0,2,1,5,1,0,1,0,4,8,1,5,1,0
1991,"Male","4-year college degree","Never married","White",NA,"Women","Heterosexual/straight",NA,"No","Agnostic",NA,"Not at all important","Moderate","Independent","Some of the time","Working full time now",NA,"$50,000 - $59,999",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69,"Very probably","Probably","Probably","Possibly",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,1,5,0,1,11,2,3,1,0,1,1,3,2,1,0,1,3,8,1,6,2,0
1983,"Female","4-year college degree","Divorced","White",NA,"Men","Heterosexual/straight",NA,"No","Protestant",NA,"Extremely important","Very conservative","Republican","Some of the time","Working full time now",NA,"$20,000 - $29,999",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71,"Probably not","Definitely not","Definitely not","Definitely not",35,0,5,0,1,11,1,3,1,0,10,5,1,3,2,0,2,3,8,1,3,2,NA
1971,"Male","Some college, but no degree (yet)","Married","White",NA,"Women","Heterosexual/straight",NA,"No","Atheist",NA,"Not at all important","Moderate","Independent","Most of the time","Working full time now",NA,"$80,000 - $89,999",NA,NA,NA,NA,NA,75,"Possibly","Probably not","Probably not","Probably not",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47,1,3,1,1,11,2,3,1,0,2,1,3,2,1,0,1,4,8,1,9,1,1
1993,"Female","4-year college degree","Never married","Black or African-American",NA,"Men","Heterosexual/straight",NA,"No","Nothing in particular",NA,"Moderately important","Very liberal","Democrat","Some of the time","Working full time now",NA,"$50,000 - $59,999",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91,"Very probably","Definitely","Definitely","Very probably",NA,NA,NA,NA,NA,25,0,5,0,0,2,1,3,1,0,9,3,5,1,0,1,0,3,8,1,6,1,0
1965,"Female","Some college, but no degree (yet)","Married","White",NA,"Men","Heterosexual/straight",NA,"No","Nothing in particular",NA,"Not at all important","Moderate","Independent","Hardly at all","Taking care of home or family",NA,"$20,000 - $29,999",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,"Probably not","Probably not","Probably not","Probably not",53,0,3,1,1,11,1,3,1,0,9,1,3,2,1,0,1,1,5,0,3,2,0
1983,"Male","Postgraduate degree (MA, MBA, MD, JD, PhD, etc.)","Never married","Asian or Asian-American",NA,"Men","Heterosexual/straight",NA,"No","Atheist",NA,"Not at all important","Very liberal","Independent","Most of the time","Working part time now",NA,"$30,000 - $39,999",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,"Definitely not","Definitely not","Definitely not","Definitely not",NA,NA,NA,NA,NA,35,1,6,0,0,1,1,3,1,0,2,1,5,2,1,0,1,4,9,0,4,1,1
1990,"Male","4-year college degree","Never married","White",NA,"Men","Bisexual",NA,"Yes","Roman Catholic",NA,"Moderately important","Moderate","Democrat","Some of the time","Working full time now",NA,"$30,000 - $39,999",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,81,"Possibly","Definitely not","Probably not","Probably",28,1,5,0,1,11,1,1,0,1,11,3,3,1,0,1,0,3,8,1,4,2,1
1994,"Female","Some college, but no degree (yet)","Never married","White,Black or African-American",NA,"Men","Other","Asexual","No","Nothing in particular",NA,"Not at all important","Liberal","Democrat","Only now and then","Unemployed",NA,"$30,000 - $39,999",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75,"Possibly","Probably not","Probably not","Possibly",NA,NA,NA,NA,NA,24,0,3,0,0,13,1,5,0,0,9,1,4,1,0,1,0,2,7,0,4,1,0
1987,"Male","Some college, but no degree (yet)","Never married","White",NA,"Women","Heterosexual/straight",NA,"No","Atheist",NA,"Not at all important","Liberal","Democrat","Most of the time","Working full time now",NA,"$30,000 - $39,999",90,"Definitely","Definitely","Probably","Definitely",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,1,3,0,1,11,2,3,1,0,2,1,4,1,0,1,0,4,8,1,4,0,NA
